propertyCode,pullDateId,IDS_DATE_DAY,RateCode,RoomNights,RoomNightsPer,RoomRevenue,RoomRevenuePer,DailyAVG
USTX230301,920,2023-09-19,LEXP,7,8,540.12,9.21,77.16
USTX230301,920,2023-09-19,LCAPE,1,1,84.00,1.43,84.00
USTX230301,920,2023-09-20,SSC,2,3,160.20,3.73,80.10
USTX230301,920,2023-09-20,SRD Rate,1,1,38.54,0.90,38.54
USTX230301,920,2023-09-20,SO2R,3,4,229.60,5.35,76.53
USTX230301,920,2023-09-20,SO2M2M,2,3,154.76,3.60,77.38
USTX230301,920,2023-09-20,SO2EXP,2,3,126.34,2.94,63.17
USTX230301,920,2023-09-20,SO2BK,1,1,71.20,1.66,71.20
USTX230301,920,2023-09-20,SNP,1,1,71.20,1.66,71.20
USTX230301,920,2023-09-20,SCPM,10,16,875.81,20.39,87.58
USTX230301,920,2023-09-20,SC15,3,4,226.95,5.28,75.65
USTX230301,920,2023-09-20,SBOOK,7,11,655.00,15.25,93.57
USTX230301,920,2023-09-20,S3A,1,1,80.10,1.86,80.10
USTX230301,920,2023-09-20,BAR,3,4,(216.20),(5.03),(72.07)
USTX230301,920,2023-09-20,LWI2,2,3,173.70,4.04,86.85
USTX230301,920,2023-09-20,LTRAV,10,16,610.00,14.20,61.00
USTX230301,920,2023-09-20,LOPQ2,3,4,197.40,4.60,65.80
USTX230301,920,2023-09-20,LHYDRO,1,1,65.72,1.53,65.72
USTX230301,920,2023-09-20,LEXP2,1,1,68.52,1.60,68.52
USTX230301,920,2023-09-20,LEXP,7,11,548.52,12.77,78.36
USTX230301,920,2023-09-20,LCAPE,1,1,84.00,1.96,84.00
USTX230301,920,2023-09-20,LATP,1,1,74.00,1.72,74.00
USTX230301,920,2023-09-21,SSC,1,1,98.10,1.53,98.10
USTX230301,920,2023-09-21,SRTL,7,10,815.00,12.71,116.43
USTX230301,920,2023-09-21,SRD Rate,1,1,46.82,0.73,46.82
USTX230301,920,2023-09-21,SO2R,3,4,261.60,4.08,87.20
USTX230301,920,2023-09-21,SO2M2M,2,2,177.08,2.76,88.54
USTX230301,920,2023-09-21,SO2EXP,2,2,146.50,2.28,73.25
USTX230301,920,2023-09-21,SO2BK,1,1,87.20,1.36,87.20
USTX230301,920,2023-09-21,SNP,1,1,79.20,1.23,79.20
USTX230301,920,2023-09-21,SCPM,10,14,"1,014.94",15.82,101.49
USTX230301,920,2023-09-21,SBOOK,7,10,797.00,12.43,113.86
USTX230301,920,2023-09-21,SAPR2B,1,1,105.60,1.65,105.60
USTX230301,920,2023-09-21,S3A,1,1,93.60,1.46,93.60
USTX230301,920,2023-09-21,BAR,4,5,301.00,4.69,75.25
USTX230301,920,2023-09-21,LWTO,2,2,152.25,2.37,76.13
USTX230301,920,2023-09-21,LWI2,1,1,98.10,1.53,98.10
USTX230301,920,2023-09-21,LTRAV,4,5,244.00,3.80,61.00
USTX230301,920,2023-09-21,LOPQ2,2,2,142.10,2.22,71.05
USTX230301,920,2023-09-21,LNET2,1,1,85.50,1.33,85.50
USTX230301,920,2023-09-21,LFF,1,1,54.00,0.84,54.00
USTX230301,920,2023-09-21,LEXP,16,22,"1,456.56",22.71,91.04
USTX230301,920,2023-09-21,LCAPE,1,1,84.00,1.31,84.00
USTX230301,920,2023-09-21,LATP,1,1,74.00,1.15,74.00
USTX230301,920,2023-09-22,SSC,1,1,102.60,1.16,102.60
USTX230301,920,2023-09-22,SRTL,11,13,"1,339.00",15.16,121.73
USTX230301,920,2023-09-22,SRD Rate,6,7,312.78,3.54,52.13
USTX230301,920,2023-09-22,SGML,2,2,214.20,2.43,107.10
USTX230301,920,2023-09-22,SGM,1,1,102.60,1.16,102.60
USTX230301,920,2023-09-22,SCPM,20,23,"2,260.75",25.60,113.04
USTX230301,920,2023-09-22,SBOOK,9,10,"1,065.00",12.06,118.33
USTX230301,920,2023-09-22,SAPR2B,1,1,137.10,1.55,137.10
USTX230301,920,2023-09-22,SAGOD,1,1,96.90,1.10,96.90
USTX230301,920,2023-09-22,S3A,2,2,200.70,2.27,100.35
USTX230301,920,2023-09-22,BAR,11,13,"1,104.00",12.50,100.36
USTX230301,920,2023-09-22,PKPR1,1,1,115.50,1.31,115.50
